#
# $Id$
#
# Source: https://mi3.ncdc.noaa.gov/mi3report/MISC/nexrad-stations.TXT
#
# Fields: ncdcid,icao,wban,name,state,county,lat,lon,elev,time
#
30001794,kabr,14929,aberdeen,sd,brown,45.45583,-98.41306,1302,+6
30001795,kabx,03019,albuquerque,nm,bernalillo,35.14972,-106.82333,5870,+7
30001796,kakq,93773,norfolk rich,va,sussex,36.98389,-77.0075,112,+5
30001797,kama,23047,amarillo,tx,potter,35.23333,-101.70889,3587,+6
30001798,kamx,12899,miami,fl,dade,25.61056,-80.41306,14,+5
30001799,kapx,04837,gaylord,mi,antrim,44.90722,-84.71972,1464,+5
30001800,karx,94987,la crosse,wi,la crosse,43.82278,-91.19111,1276,+6
30001801,katx,94287,seattle,wa,island,48.19472,-122.49444,494,+8
30001802,kbbx,93240,beale afb,ca,butte,39.49611,-121.63167,173,+8
30001807,kbgm,04725,binghamton,ny,broome,42.19972,-75.985,1606,+5
30001808,kbhx,94289,eureka,ca,humboldt,40.49833,-124.29194,2402,+8
30001809,kbis,24011,bismarck,nd,burleigh,46.77083,-100.76028,1658,+6
30001811,kblx,94046,billings,mt,yellowstone,45.85389,-108.60611,3598,+7
30001812,kbmx,53823,birmingham,al,shelby,33.17194,-86.76972,645,+6
30001813,kbox,54765,boston,ma,bristol,41.95583,-71.1375,118,+5
30001814,kbro,12919,brownsville,tx,cameron,25.91556,-97.41861,23,+6
30001815,kbuf,14733,buffalo,ny,erie,42.94861,-78.73694,693,+5
30001816,kbyx,92804,key west,fl,monroe,24.59694,-81.70333,8,+5
30001781,kcae,13883,columbia,sc,lexington,33.94861,-81.11861,231,+5
30001782,kcbw,94625,houlton,me,aroostook,46.03917,-67.80694,746,+5
30001817,kcbx,04101,boise,id,ada,43.49083,-116.23444,3061,+7
30001783,kccx,54764,state college,pa,centre,40.92306,-78.00389,2405,+5
30001818,kcle,14820,cleveland,oh,cuyahoga,41.41306,-81.86,763,+5
30001819,kclx,53845,charleston,sc,beaufort,32.65556,-81.04222,97,+5
30001821,kcrp,12924,corpus christi,tx,nueces,27.78389,-97.51083,45,+6
30001822,kcxx,54774,burlington,vt,chittenden,44.51111,-73.16639,317,+5
30001823,kcys,24018,cheyenne,wy,laramie,41.15194,-104.80611,6128,+7
30001824,kdax,93235,sacramento,ca,yolo,38.50111,-121.67667,30,+8
30001825,kddc,13985,dodge city,ks,ford,37.76083,-99.96833,2590,+6
30001826,kdfx,22015,laughlin afb,tx,kinney,29.2725,-100.28028,1131,+6
30001827,kdgx,jackson,brandon,ms,rankin,32.28,-89.98444,-99999,+6
